t,r,age
0,1,35
1,1,35
2,1,35
3,1,35
4,1,35
5,1,35
6,1,35
7,1,35
8,1,35
9,1,35
10,1,35
11,1,35
12,1,36
13,1,36
14,1,36
15,1,36
16,1,36
17,1,36
18,1,36
19,1,36
20,1,36
21,1,36
22,1,36
23,1,36
24,1,37
25,1,37
26,1,37
27,1,37
28,1,37
29,1,37
30,1,37
31,1,37
32,1,37
33,1,37
34,1,37
35,1,37
36,1,38
37,1,38
38,1,38
39,1,38
40,1,38
41,1,38
42,1,38
43,1,38
44,1,38
45,1,38
46,1,38
47,1,38
48,1,39
49,1,39
50,1,39
51,1,39
52,1,39
53,1,39
54,1,39
55,1,39
56,1,39
57,1,39
58,1,39
59,1,39
60,1,40
0,1,18
1,1,18
2,1,18
3,1,18
4,1,18
5,1,18
6,1,18
7,1,18
8,1,18
9,1,18
10,1,18
11,1,18
12,1,19
13,1,19
14,1,19
15,1,19
16,1,19
17,1,19
18,1,19
19,1,19
20,1,19
21,1,19
22,1,19
23,1,19
24,1,20
25,1,20
26,1,20
27,1,20
28,1,20
29,1,20
30,1,20
31,1,20
32,1,20
33,1,20
34,1,20
35,1,20
36,1,21
37,1,21
38,1,21
39,1,21
40,1,21
41,1,21
42,1,21
43,1,21
44,1,21
45,1,21
46,1,21
47,1,21
48,1,22
49,1,22
50,1,22
51,1,22
52,1,22
53,1,22
54,1,22
55,1,22
56,1,22
57,1,22
58,1,22
59,1,22
60,1,23
